tokyo-2020,2021-08-08T16:00:00.000+02:00,2021-07-23T13:00:00.000+02:00,Japan,Tokyo 2020,Summer,2020
pyeongchang-2018,2018-02-25T09:00:00.000+01:00,2018-02-09T00:00:00.000+01:00,Republic of Korea,PyeongChang 2018,Winter,2018
rio-2016,2016-08-21T23:00:00.000+02:00,2016-08-05T14:00:00.000+02:00,Brazil,Rio 2016,Summer,2016
sochi-2014,2014-02-23T17:00:00.000+01:00,2014-02-07T05:00:00.000+01:00,Russian Federation,Sochi 2014,Winter,2014
london-2012,2012-08-12T21:00:00.000+02:00,2012-07-27T09:00:00.000+02:00,Great Britain,London 2012,Summer,2012
vancouver-2010,2010-02-28T05:00:00.000+01:00,2010-02-12T17:00:00.000+01:00,Canada,Vancouver 2010,Winter,2010
beijing-2008,2008-08-24T14:00:00.000+02:00,2008-08-08T02:00:00.000+02:00,China,Beijing 2008,Summer,2008
turin-2006,2006-02-26T20:00:00.000+01:00,2006-02-10T08:00:00.000+01:00,Italy,Turin 2006,Winter,2006
athens-2004,2004-08-29T20:00:00.000+02:00,2004-08-13T08:00:00.000+02:00,Greece,Athens 2004,Summer,2004
salt-lake-city-2002,2002-02-24T09:00:00.000+01:00,2002-02-08T16:00:00.000+01:00,United States,Salt Lake City 2002,Winter,2002
sydney-2000,2000-10-01T11:00:00.000+02:00,2000-09-15T03:00:00.000+02:00,Australia,Sydney 2000,Summer,2000
nagano-1998,1998-02-22T12:00:00.000+01:00,1998-02-07T00:00:00.000+01:00,Japan,Nagano 1998,Winter,1998
atlanta-1996,1996-08-05T23:00:00.000+02:00,1996-07-19T14:00:00.000+02:00,United States,Atlanta 1996,Summer,1996
lillehammer-1994,1994-02-27T20:00:00.000+01:00,1994-02-12T08:00:00.000+01:00,Norway,Lillehammer 1994,Winter,1994
barcelona-1992,1992-08-09T20:00:00.000+02:00,1992-07-25T08:00:00.000+02:00,Spain,Barcelona 1992,Summer,1992
albertville-1992,1992-02-23T20:00:00.000+01:00,1992-02-08T08:00:00.000+01:00,France,Albertville 1992,Winter,1992
