68,Onalenna Baloyi,Botswana,Middle distance,2010,Methylhexanamine,2 years
69,Yuliya Balykina,Belarus,Sprinting,2013,Drostanolone,2 years
70,Falk Balzer,Germany,Hurdling,2001,Nandrolone,2 years
71,Konstadinos Baniotis,Greece,High jump,2013,Furosemide,Public warning
72,Jarrod Bannister,Australia,Javelin throw,2012,Three Whereabouts Failures within an 18-month period,20 months
73,Kelly-Ann Baptiste,Trinidad and Tobago,Sprinting,"","",2 years
74,Shawnacy Barber,Canada,Pole vault,2016,Cocaine,Public warning
75,Roberto Barbi,Italy,Marathon,1996 20012008,"Ephedrine EPO EPO, Ephedrine","3 months 4 years, reduced to 25 months Life ban"
76,Roxana Bârcă,Romania,Long distance running,2013,Methasterone,2 years
77,Randy Barnes,United States,Shot put,1990 1998,Methyltestosterone Androstenedione,27 months Life ban
78,Yarelys Barrios,Cuba,Discus throw,2008,Acetazolamide,""
79,Bruno de Barros,Brazil,Sprinting,2009,EPO,2 years
80,Elias Bastos,Brazil,Cross country running,2014,Methyltestosterone,2 years
81,Giuliano Battocletti,Italy,Long distance running,1999,Nandrolone,16 months
82,Dieter Baumann,Germany,Long distance,1999,Nandrolone,2 years
83,Julie Baumann,Canada,Hurdling,1989,Stanozolol,2 years
84,Vadim Bavikin,Israel,Javelin throw,1994,Steroids,4 years
85,Chantal Beaugeant,France,Heptathlon,1989,"",2 years
86,James Beckford,Jamaica,Long jump,1997,Ephedrine,3 months
87,Violeta Beclea,Romania,Middle distance,1995,Steroids,4 years
88,Chaltu Beji,Azerbaijan,Steeplechase,2015,Ostarine,4 years
89,Alemitu Bekele,Turkey,Long distance,2009,Biological passport anomalies,2 years and 9 months
90,Mimi Belete,Bahrain,Middle/Long distance,2010,Salbutamol,Public reprimand and disqualification
91,Irina Belova,Russia,Heptathlon,1993,Testosterone,4 years
92,Kenta Bell,United States,Triple jump,2007,Methylprednisolone,3 months
93,Awatef Ben Hassine,Tunisia,Sprinting,2004,Norandrosterone,2 years
94,Yassine Bensghir,Morocco,Middle distance,2014,Biological passport,4 years
95,Yahya Berrabah,Morocco,Long jump,20092011,CannabisEPO,Public warning4 years (2nd ADRV)
96,Gwen Berry,United States,Hammer throw,2016,Use of a prohibited substance (Vilanterol Trifenatate),3 months
97,Michael Berry,United States,Sprinting,2010,Cannabis,3 months
98,Mariya Bespalova,Russia,Hammer throw,2015,Dehydrochloromethyltestosterone,4 years
99,María Cristina Betancourt,Cuba,Discus throw,1983,"",Life ban
100,Kipyegon Bett,Kenya,800 m,2017,Erythropoietin out-of-competition test in November 2017,4 years
101,Antonella Bevilacqua,Italy,High jump,1996,"Ephedrine, pseudoephedrine",""
102,Uwe Beyer,West Germany,Hammer throw,1960's/1970's,Anabolic steroids (self-admitted),—
103,Alemayehu Bezabeh,Spain,Middle/Long distance,2010,Use of a prohibited method (Operation Galgo),2 years
104,Rajendra Bahadur Bhandari,Nepal,Long distance,2006,Norandrosterone,2 years
105,Quentin Bigot,France,Hammer throw,2014,Methandienone and Stanozolol,2 years
106,Madina Biktagirova,Unified Team,Long distance,1992,Norephedrine,""
107,Yuriy Bilonoh,Ukraine,Shot put,2004 (Sample retested 2012),Oxandrolone,3 years
108,Svetlana Biryukova,Russia,Long jump,2014,SARMs,2-year ban
109,Dominique Blake,Jamaica,Sprinting,2006 2012,EphedrineMethylhexanamine,9 months 4 years and 6 months (Reduced from 6 years)
110,Yohan Blake,Jamaica,Sprinting,2009,4-Methyl-2-hexanamine,3 months
111,José Luis Blanco,Spain,Middle distance,2010,EPO,2 years
112,Zhanna Block,Ukraine,Sprinting,2002,BALCO scandal,2 years
113,Lyudmyla Blonska,Ukraine,"Heptathlon, long jump",20032008,Stanozolol Methyltestosterone,2 years Life ban
114,Petr Bogatyrev,Russia,Race walking,2011,Biological passport anomalies,2 years
115,Ato Boldon,Trinidad and Tobago,Sprinting,2001,Ephedrine,Public warning
116,Scott Boothby,United States,Hammer throw,2006,"Finasteride, 6-oxo-androstenedione",4 years (Reduced from 8 years)
117,Valeriy Borchin,Russia,Race walking,20052009,Ephedrine Biological passport anomalies,1 year 8 years
118,Béranger-Aymard Bossé,Central African Republic,Sprinting,2016,Prednisolone,2 years
119,Mihaela Botezan,Romania,Long distance,2007,Chlortalidone,2 years
120,Chakir Boujattaoui,Morocco,Long-distance,2010,MIRCERA,2 years
121,Brahim Boulami,Morocco,Steeplechace,2002,EPO,2 years
122,Larbi Bouraada,Algeria,Decathlon,2012,Stanozolol,2 years
123,Abderrahime Bouramdane,Morocco,Marathon,2011,Biological passport,2 years
124,Zahra Bouras,Algeria,Middle-distance,2012,Stanozolol,2 years
125,Sofiya Bozhanova,Bulgaria,Long/Triple jump,1994,Amphetamine,4 years
126,Kevin Braunskill,United States,Sprinting,1994,Stanozolol,4 years
127,Grit Breuer,Germany,Sprinting,1992,Clenbuterol,2 years
128,Okkert Brits,South Africa,Pole vault,2003,Ephedrine,Public warning
129,Damien Broothaerts,Belgium,Hurdling,2011,"Methylhexanamine, 3 whereabouts failures",1 year (Reduced from 2 years)
130,Alicia Brown,Canada,Sprinting,2013,Hydrochlorothiazide,2 years
131,Erik de Bruin,Netherlands,"Discus throw, shot put",1993,"Testosterone, Stanozolol, hCG",4 years
132,Ricky Bruch,Sweden,Discus throw,1960's/1970's,Anabolic steroids (self-admitted),—
133,Yelyzaveta Bryzhina,Ukraine,Sprinting,2013,Drostanolone,2 years
134,Aleksandr Bulanov,Russia,Shot put,2009,Methandienone,2 years
135,Viktor Burayev,Russia,Race walking,2008,EPO,2 years
136,Tamara Bykova,Soviet Union,High jump,1990,Ephedrine,3 months
137,Yolanda Caballero,Colombia,Long distance,20112014,Biological passportTampering,4 years
138,Gary Cadogan,Great Britain,"Sprinting, hurdling",1998,Nandrolone,2 years
139,Dorina Calenic,Romania,Long distance,1987,"",""
140,Mehmet Çağlayan,Turkey,Long distance,2010,EPO,2 years
141,Jillian Camarena-Williams,United States,Shot put,2013,Clomiphene,6 months
142,John Capel,United States,Sprinting,2004 2006,CannabisCannabis,Public warning2 years
143,Dean Capobianco,Australia,Sprinting,1996,Stanazolol,2 years (Reduced from 4 years)
144,Hector Carrasquillo,Puerto Rico,Sprinting,2011,Anabolic steroid,2 years
145,LaMark Carter,United States,Triple jump,2004,Salbutamol,Public warning
146,Silviu Casandra,Romania,Race walking,2002,"",2 years
